variable,dtype,var_type,role,isCount,weighting_var
ID,int64,binary,['splitby'],False,
Total VAP,int64,binary,['ignore'],True,
Party,object,categorical,['independent'],False,
Partisan Lean,float64,continuous,['dependent'],False,Total VAP
