state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,1,REPUBLICAN,SANDY SMITH,495
NORTH CAROLINA,1,10,DEMOCRAT,G K BUTTERFIELD,135
NORTH CAROLINA,1,10,REPUBLICAN,SANDY SMITH,59
NORTH CAROLINA,1,1001,DEMOCRAT,G K BUTTERFIELD,105
NORTH CAROLINA,1,1001,REPUBLICAN,SANDY SMITH,141
NORTH CAROLINA,1,11,DEMOCRAT,G K BUTTERFIELD,140
NORTH CAROLINA,1,11,REPUBLICAN,SANDY SMITH,50
NORTH CAROLINA,1,1101,DEMOCRAT,G K BUTTERFIELD,164
NORTH CAROLINA,1,1101,REPUBLICAN,SANDY SMITH,442
NORTH CAROLINA,1,1102A,DEMOCRAT,G K BUTTERFIELD,49
NORTH CAROLINA,1,1102A,REPUBLICAN,SANDY SMITH,128
NORTH CAROLINA,1,1102B,DEMOCRAT,G K BUTTERFIELD,160
NORTH CAROLINA,1,1102B,REPUBLICAN,SANDY SMITH,496
NORTH CAROLINA,1,12,DEMOCRAT,G K BUTTERFIELD,143
NORTH CAROLINA,1,12,REPUBLICAN,SANDY SMITH,122
NORTH CAROLINA,1,1201,DEMOCRAT,G K BUTTERFIELD,570
NORTH CAROLINA,1,1201,REPUBLICAN,SANDY SMITH,357
NORTH CAROLINA,1,1202,DEMOCRAT,G K BUTTERFIELD,188
NORTH CAROLINA,1,1202,REPUBLICAN,SANDY SMITH,11
NORTH CAROLINA,1,1203,DEMOCRAT,G K BUTTERFIELD,146
NORTH CAROLINA,1,1203,REPUBLICAN,SANDY SMITH,281
NORTH CAROLINA,1,1204,DEMOCRAT,G K BUTTERFIELD,169
NORTH CAROLINA,1,1204,REPUBLICAN,SANDY SMITH,8
NORTH CAROLINA,1,1205,DEMOCRAT,G K BUTTERFIELD,104
NORTH CAROLINA,1,1205,REPUBLICAN,SANDY SMITH,10
NORTH CAROLINA,1,13,DEMOCRAT,G K BUTTERFIELD,108
NORTH CAROLINA,1,13,REPUBLICAN,SANDY SMITH,76
NORTH CAROLINA,1,1301,DEMOCRAT,G K BUTTERFIELD,43
NORTH CAROLINA,1,1301,REPUBLICAN,SANDY SMITH,191
NORTH CAROLINA,1,14,DEMOCRAT,G K BUTTERFIELD,70
NORTH CAROLINA,1,14,REPUBLICAN,SANDY SMITH,316
NORTH CAROLINA,1,1401,DEMOCRAT,G K BUTTERFIELD,28
NORTH CAROLINA,1,1401,REPUBLICAN,SANDY SMITH,189
NORTH CAROLINA,1,1403A1,DEMOCRAT,G K BUTTERFIELD,106
NORTH CAROLINA,1,1403A1,REPUBLICAN,SANDY SMITH,176
NORTH CAROLINA,1,1403A2,DEMOCRAT,G K BUTTERFIELD,107
NORTH CAROLINA,1,1403A2,REPUBLICAN,SANDY SMITH,146
NORTH CAROLINA,1,1403B,DEMOCRAT,G K BUTTERFIELD,128
NORTH CAROLINA,1,1403B,REPUBLICAN,SANDY SMITH,182
NORTH CAROLINA,1,15,DEMOCRAT,G K BUTTERFIELD,103
NORTH CAROLINA,1,15,REPUBLICAN,SANDY SMITH,372
NORTH CAROLINA,1,1501,DEMOCRAT,G K BUTTERFIELD,77
NORTH CAROLINA,1,1501,REPUBLICAN,SANDY SMITH,5
NORTH CAROLINA,1,1503,DEMOCRAT,G K BUTTERFIELD,197
NORTH CAROLINA,1,1503,REPUBLICAN,SANDY SMITH,57
NORTH CAROLINA,1,1504A,DEMOCRAT,G K BUTTERFIELD,159
NORTH CAROLINA,1,1504A,REPUBLICAN,SANDY SMITH,36
NORTH CAROLINA,1,1504B,DEMOCRAT,G K BUTTERFIELD,278
NORTH CAROLINA,1,1504B,REPUBLICAN,SANDY SMITH,155
NORTH CAROLINA,1,1505A,DEMOCRAT,G K BUTTERFIELD,210
NORTH CAROLINA,1,1505A,REPUBLICAN,SANDY SMITH,72
NORTH CAROLINA,1,1505B,DEMOCRAT,G K BUTTERFIELD,206
NORTH CAROLINA,1,1505B,REPUBLICAN,SANDY SMITH,45
NORTH CAROLINA,1,1506,DEMOCRAT,G K BUTTERFIELD,126
NORTH CAROLINA,1,1506,REPUBLICAN,SANDY SMITH,75
