FriendlyId,district2020,district2022,party,votes,state
48423000044,1,1,Dem,972,TEXAS
48423000026,1,1,Dem,332,TEXAS
48355000076,27,27,Dem,203,TEXAS
48355000047,27,27,Dem,101,TEXAS
48355000024,27,27,Dem,256,TEXAS
48355000012,27,27,Dem,404,TEXAS
48355000038,27,27,Dem,97,TEXAS
48355000086,27,27,Dem,244,TEXAS
48453000334,10,37,Dem,1610,TEXAS
48479000341,28,28,Dem,535,TEXAS
48479000124,28,28,Dem,635,TEXAS
48453000301,21,37,Dem,956,TEXAS
48453000310,21,37,Dem,3908,TEXAS
48299000410,11,11,Dem,531,TEXAS
48061000086,34,34,Dem,470,TEXAS
48061000041,34,34,Dem,1273,TEXAS
48061000051,34,34,Dem,332,TEXAS
48061000023,34,34,Dem,46,TEXAS
48061000067,34,34,Dem,864,TEXAS
48375000323,13,13,Dem,383,TEXAS
48375000422,13,13,Dem,974,TEXAS
48165000005,19,19,Dem,12,TEXAS
48351000005,36,36,Dem,28,TEXAS
48351000001,36,36,Dem,92,TEXAS
48351000004,36,36,Dem,27,TEXAS
48457000004,36,36,Dem,97,TEXAS
48221000011,11,25,Dem,266,TEXAS
48221000003,11,25,Dem,411,TEXAS
48099000101,25,31,Dem,1534,TEXAS
48457000002,36,36,Dem,223,TEXAS
48307000402,11,11,Dem,25,TEXAS
48307000302,11,11,Dem,14,TEXAS
48307000101,11,11,Dem,114,TEXAS
48051000203,17,10,Dem,59,TEXAS
48051000211,17,10,Dem,132,TEXAS
48133000007,11,25,Dem,146,TEXAS
48061000106,34,34,Dem,877,TEXAS
48249000011,34,15,Dem,243,TEXAS
48249000006,34,15,Dem,303,TEXAS
48355000126,27,27,Dem,1021,TEXAS
48355000009,27,27,Dem,446,TEXAS
48355000061,27,27,Dem,253,TEXAS
48355000048,27,27,Dem,502,TEXAS
48453000324,25,10,Dem,2988,TEXAS
48453000316,25,10,Dem,2382,TEXAS
48463000005,23,23,Dem,324,TEXAS
48463000008,23,23,Dem,523,TEXAS
48463000012,23,23,Dem,561,TEXAS
48453000342,21,37,Dem,3501,TEXAS
48453000402,35,35,Dem,2044,TEXAS
48453000202,25,37,Dem,2455,TEXAS
48371000001,23,23,Dem,380,TEXAS
48371000003,23,23,Dem,11,TEXAS
48257000026,5,5,Dem,662,TEXAS
48257000001,5,5,Dem,687,TEXAS
48271000001,23,23,Dem,112,TEXAS
48271000003,23,23,Dem,130,TEXAS
4821300004W,5,5,Dem,153,TEXAS
48213000002,5,5,Dem,86,TEXAS
48235000100,11,11,Dem,32,TEXAS
48423000047,1,1,Dem,101,TEXAS
48041000031,17,10,Dem,1429,TEXAS
48041000037,17,10,Dem,16,TEXAS
48501000406,19,19,Dem,76,TEXAS
48369000302,19,19,Dem,6,TEXAS
48369000301,19,19,Dem,86,TEXAS
48375000224,13,13,Dem,597,TEXAS
48375000125,13,13,Dem,777,TEXAS
48375000221,13,13,Dem,307,TEXAS
48369000401,19,19,Dem,21,TEXAS
48369000201,19,19,Dem,136,TEXAS
48375000322,13,13,Dem,18,TEXAS
48061000087,34,34,Dem,528,TEXAS
48061000033,34,34,Dem,195,TEXAS
48061000021,34,34,Dem,748,TEXAS
48061000043,34,34,Dem,336,TEXAS
48061000039,34,34,Dem,331,TEXAS
48457000018,36,36,Dem,138,TEXAS
48453000152,25,,Dem,2891,TEXAS
48453000126,25,35,Dem,4129,TEXAS
48453000275,25,37,Dem,2607,TEXAS
48453000208,25,37,Dem,2483,TEXAS
48479000237,28,28,Dem,168,TEXAS
48479000457,28,28,Dem,20,TEXAS
48479000215,28,28,Dem,480,TEXAS
48215000049,15,15,Dem,888,TEXAS
48215000230,15,15,Dem,332,TEXAS
48215000112,15,34,Dem,593,TEXAS
48215000118,34,34,Dem,712,TEXAS
48215000104,15,15,Dem,834,TEXAS
48215000123,34,34,Dem,351,TEXAS
48215000051,28,15,Dem,734,TEXAS
48215000054,15,15,Dem,595,TEXAS
48215000083,15,15,Dem,1240,TEXAS
48351000009,36,36,Dem,48,TEXAS
48099000416,25,31,Dem,809,TEXAS
48221000002,11,25,Dem,529,TEXAS
48221000014,11,25,Dem,514,TEXAS
48221000013,11,25,Dem,484,TEXAS
48221000008,11,25,Dem,390,TEXAS
48479000266,28,28,Dem,490,TEXAS
48479000309,28,28,Dem,1185,TEXAS
48479000268,28,28,Dem,87,TEXAS
48453000373,25,10,Dem,1823,TEXAS
48453000105,10,35,Dem,6764,TEXAS
48453000117,35,35,Dem,2225,TEXAS
48215000058,15,34,Dem,1110,TEXAS
48215000171,34,34,Dem,6,TEXAS
48215000056,15,34,Dem,924,TEXAS
48215000165,15,15,Dem,243,TEXAS
48215000244,15,15,Dem,257,TEXAS
48215000041,15,34,Dem,1029,TEXAS
48215000038,28,15,Dem,1175,TEXAS
48215000036,15,,Dem,1194,TEXAS
48215000187,28,15,Dem,790,TEXAS
48215000066,15,15,Dem,457,TEXAS
48215000045,34,34,Dem,508,TEXAS
48215000016,15,34,Dem,1039,TEXAS
48135000101,11,11,Dem,576,TEXAS
48135000402,11,11,Dem,522,TEXAS
48135000102,11,11,Dem,493,TEXAS
48135000202,11,11,Dem,374,TEXAS
48135000311,11,11,Dem,178,TEXAS
48099000311,25,31,Dem,133,TEXAS
48099000205,25,31,Dem,273,TEXAS
48125000006,13,13,Dem,28,TEXAS
48165000003,19,19,Dem,121,TEXAS
48041000015,17,10,Dem,871,TEXAS
48041000045,17,10,Dem,20,TEXAS
48257000022,5,5,Dem,139,TEXAS
48257000006,5,5,Dem,246,TEXAS
48257000010,5,5,Dem,260,TEXAS
48257000007,5,5,Dem,2316,TEXAS
