variable,dtype,var_type,role,isCount,weighting_var
ID,int64,ordinal,['splitby'],False,
Total VAP,int64,ordinal,[],True,
Party,object,categorical,['independent'],False,
Partisan Lean,float64,continuous,['dependent'],False,Total VAP
