variable,dtype,var_type,role,isCount,weighting_var
state,object,categorical,['ignore'],FALSE,
district1,int64,ordinal,['splitby'],FALSE,
district2,int64,ordinal,['splitby'],FALSE,
district3,int64,ordinal,['splitby'],FALSE,
precinct,object,categorical,['ignore'],FALSE,
party,object,categorical,['independent'],FALSE,
candidate,object,categorical,[],FALSE,
votes,int64,continuous,['dependent'],FALSE,
