ID,Total VAP,Party,Partisan Lean
1,557535,Dem,0.3853
2,557677,Dem,0.3662
3,564281,Dem,0.3511
4,556133,Dem,0.2234
5,561187,Dem,0.3776
6,552286,Dem,0.3626
7,568067,Dem,0.6771
1,557535,Rep,0.6022
2,557677,Rep,0.6224
3,564281,Rep,0.6378
4,556133,Rep,0.7641
5,561187,Rep,0.6035
6,552286,Rep,0.6204
7,568067,Rep,0.3136
1,557535,Oth,0.0125
2,557677,Oth,0.0114
3,564281,Oth,0.0112
4,556133,Oth,0.0125
5,561187,Oth,0.0188
6,552286,Oth,0.017
7,568067,Oth,0.0093
