variable,dtype,var_type,role,isCount,weighting_var
ID,int64,ordinal,['splitby'],False,
Total VAP,int64,ordinal,['ignore'],True,
Race,object,categorical,['independent'],False,
Race Percentage,float64,continuous,['dependent'],False,Total VAP
