state,district2010,district2020,precinct,party,candidate,votes
WASHINGTON,2,2,223,DEMOCRAT,RICK LARSEN,478
WASHINGTON,2,2,223,REPUBLICAN,TIMOTHY S HAZELO,54
WASHINGTON,2,2,224,DEMOCRAT,RICK LARSEN,401
WASHINGTON,2,2,224,REPUBLICAN,TIMOTHY S HAZELO,50
WASHINGTON,2,2,225,DEMOCRAT,RICK LARSEN,1185
WASHINGTON,2,2,225,REPUBLICAN,TIMOTHY S HAZELO,134
WASHINGTON,2,2,226,DEMOCRAT,RICK LARSEN,769
WASHINGTON,2,2,226,REPUBLICAN,TIMOTHY S HAZELO,56
WASHINGTON,2,2,227,DEMOCRAT,RICK LARSEN,764
WASHINGTON,2,2,227,REPUBLICAN,TIMOTHY S HAZELO,137
WASHINGTON,2,2,228,DEMOCRAT,RICK LARSEN,804
WASHINGTON,2,2,228,REPUBLICAN,TIMOTHY S HAZELO,86
WASHINGTON,2,2,229,DEMOCRAT,RICK LARSEN,902
WASHINGTON,2,2,229,REPUBLICAN,TIMOTHY S HAZELO,224
WASHINGTON,2,2,230,DEMOCRAT,RICK LARSEN,799
WASHINGTON,2,2,230,REPUBLICAN,TIMOTHY S HAZELO,171
WASHINGTON,2,2,231,DEMOCRAT,RICK LARSEN,896
WASHINGTON,2,2,231,REPUBLICAN,TIMOTHY S HAZELO,222
WASHINGTON,2,2,232,DEMOCRAT,RICK LARSEN,646
WASHINGTON,2,2,232,REPUBLICAN,TIMOTHY S HAZELO,242
WASHINGTON,2,2,233,DEMOCRAT,RICK LARSEN,689
WASHINGTON,2,2,233,REPUBLICAN,TIMOTHY S HAZELO,180
WASHINGTON,2,2,234,DEMOCRAT,RICK LARSEN,575
WASHINGTON,2,2,234,REPUBLICAN,TIMOTHY S HAZELO,205
WASHINGTON,2,2,235,DEMOCRAT,RICK LARSEN,344
WASHINGTON,2,2,235,REPUBLICAN,TIMOTHY S HAZELO,136
WASHINGTON,2,2,237,DEMOCRAT,RICK LARSEN,626
WASHINGTON,2,2,237,REPUBLICAN,TIMOTHY S HAZELO,231
WASHINGTON,2,2,238,DEMOCRAT,RICK LARSEN,379
WASHINGTON,2,2,238,REPUBLICAN,TIMOTHY S HAZELO,186
WASHINGTON,2,2,239,DEMOCRAT,RICK LARSEN,739
WASHINGTON,2,2,239,REPUBLICAN,TIMOTHY S HAZELO,224
WASHINGTON,2,2,240,DEMOCRAT,RICK LARSEN,636
WASHINGTON,2,2,240,REPUBLICAN,TIMOTHY S HAZELO,183
WASHINGTON,2,2,241,DEMOCRAT,RICK LARSEN,517
WASHINGTON,2,2,241,REPUBLICAN,TIMOTHY S HAZELO,190
WASHINGTON,2,2,242,DEMOCRAT,RICK LARSEN,412
WASHINGTON,2,2,242,REPUBLICAN,TIMOTHY S HAZELO,125
WASHINGTON,2,2,243,DEMOCRAT,RICK LARSEN,610
WASHINGTON,2,2,243,REPUBLICAN,TIMOTHY S HAZELO,181
WASHINGTON,2,2,244,DEMOCRAT,RICK LARSEN,771
WASHINGTON,2,2,244,REPUBLICAN,TIMOTHY S HAZELO,97
WASHINGTON,2,2,245,DEMOCRAT,RICK LARSEN,41
WASHINGTON,2,2,245,REPUBLICAN,TIMOTHY S HAZELO,6
WASHINGTON,2,2,246,DEMOCRAT,RICK LARSEN,731
WASHINGTON,2,2,246,REPUBLICAN,TIMOTHY S HAZELO,76
WASHINGTON,2,2,247,DEMOCRAT,RICK LARSEN,846
WASHINGTON,2,2,247,REPUBLICAN,TIMOTHY S HAZELO,85
WASHINGTON,2,2,248,DEMOCRAT,RICK LARSEN,712
WASHINGTON,2,2,248,REPUBLICAN,TIMOTHY S HAZELO,157
WASHINGTON,2,2,249,DEMOCRAT,RICK LARSEN,722
WASHINGTON,2,2,249,REPUBLICAN,TIMOTHY S HAZELO,194
WASHINGTON,2,2,250,DEMOCRAT,RICK LARSEN,817
WASHINGTON,2,2,250,REPUBLICAN,TIMOTHY S HAZELO,140
WASHINGTON,2,2,251,DEMOCRAT,RICK LARSEN,580
WASHINGTON,2,2,251,REPUBLICAN,TIMOTHY S HAZELO,101
WASHINGTON,2,2,252,DEMOCRAT,RICK LARSEN,62
WASHINGTON,2,2,252,REPUBLICAN,TIMOTHY S HAZELO,4
WASHINGTON,2,2,253,DEMOCRAT,RICK LARSEN,1145
WASHINGTON,2,2,253,REPUBLICAN,TIMOTHY S HAZELO,174
WASHINGTON,2,2,254,DEMOCRAT,RICK LARSEN,510
WASHINGTON,2,2,254,REPUBLICAN,TIMOTHY S HAZELO,167
WASHINGTON,2,2,255,DEMOCRAT,RICK LARSEN,596
WASHINGTON,2,2,255,REPUBLICAN,TIMOTHY S HAZELO,136
WASHINGTON,2,2,256,DEMOCRAT,RICK LARSEN,734
WASHINGTON,2,2,256,REPUBLICAN,TIMOTHY S HAZELO,121
WASHINGTON,2,2,257,DEMOCRAT,RICK LARSEN,664
WASHINGTON,2,2,257,REPUBLICAN,TIMOTHY S HAZELO,49
WASHINGTON,2,2,258,DEMOCRAT,RICK LARSEN,906
WASHINGTON,2,2,258,REPUBLICAN,TIMOTHY S HAZELO,75
WASHINGTON,2,2,259,DEMOCRAT,RICK LARSEN,436
WASHINGTON,2,2,259,REPUBLICAN,TIMOTHY S HAZELO,128
WASHINGTON,2,2,260,DEMOCRAT,RICK LARSEN,413
WASHINGTON,2,2,260,REPUBLICAN,TIMOTHY S HAZELO,151
WASHINGTON,2,2,261,DEMOCRAT,RICK LARSEN,444
WASHINGTON,2,2,261,REPUBLICAN,TIMOTHY S HAZELO,105
WASHINGTON,2,2,262,DEMOCRAT,RICK LARSEN,656
WASHINGTON,2,2,262,REPUBLICAN,TIMOTHY S HAZELO,97
WASHINGTON,2,2,263,DEMOCRAT,RICK LARSEN,777
WASHINGTON,2,2,263,REPUBLICAN,TIMOTHY S HAZELO,120
WASHINGTON,2,2,264,DEMOCRAT,RICK LARSEN,568
WASHINGTON,2,2,264,REPUBLICAN,TIMOTHY S HAZELO,148
WASHINGTON,2,2,265,DEMOCRAT,RICK LARSEN,415
WASHINGTON,2,2,265,REPUBLICAN,TIMOTHY S HAZELO,165
WASHINGTON,2,2,266,DEMOCRAT,RICK LARSEN,605
WASHINGTON,2,2,266,REPUBLICAN,TIMOTHY S HAZELO,188
WASHINGTON,2,2,270,DEMOCRAT,RICK LARSEN,0
WASHINGTON,2,2,270,REPUBLICAN,TIMOTHY S HAZELO,0
WASHINGTON,2,2,ADMIRALTY,DEMOCRAT,RICK LARSEN,409
WASHINGTON,2,2,ADMIRALTY,REPUBLICAN,TIMOTHY S HAZELO,175
WASHINGTON,2,2,ALDER,DEMOCRAT,RICK LARSEN,551
WASHINGTON,2,2,ALDER,REPUBLICAN,TIMOTHY S HAZELO,199
WASHINGTON,2,2,ALDERCREST,DEMOCRAT,RICK LARSEN,83
WASHINGTON,2,2,ALDERCREST,REPUBLICAN,TIMOTHY S HAZELO,43
WASHINGTON,2,2,ALGER,DEMOCRAT,RICK LARSEN,196
WASHINGTON,2,2,ALGER,REPUBLICAN,TIMOTHY S HAZELO,271
WASHINGTON,2,2,ALICIA,DEMOCRAT,RICK LARSEN,494
WASHINGTON,2,2,ALICIA,REPUBLICAN,TIMOTHY S HAZELO,225
WASHINGTON,2,2,ALLEN,DEMOCRAT,RICK LARSEN,168
WASHINGTON,2,2,ALLEN,REPUBLICAN,TIMOTHY S HAZELO,207
WASHINGTON,2,2,ALMA,DEMOCRAT,RICK LARSEN,45
WASHINGTON,2,2,ALMA,REPUBLICAN,TIMOTHY S HAZELO,47
WASHINGTON,2,2,ANACORTES 1,DEMOCRAT,RICK LARSEN,469
WASHINGTON,2,2,ANACORTES 1,REPUBLICAN,TIMOTHY S HAZELO,227
WASHINGTON,2,2,ANACORTES 11,DEMOCRAT,RICK LARSEN,586
WASHINGTON,2,2,ANACORTES 11,REPUBLICAN,TIMOTHY S HAZELO,352
WASHINGTON,2,2,ANACORTES 17,DEMOCRAT,RICK LARSEN,845
WASHINGTON,2,2,ANACORTES 17,REPUBLICAN,TIMOTHY S HAZELO,412
WASHINGTON,2,2,ANACORTES 20,DEMOCRAT,RICK LARSEN,673
WASHINGTON,2,2,ANACORTES 20,REPUBLICAN,TIMOTHY S HAZELO,432
WASHINGTON,2,2,ANACORTES 21,DEMOCRAT,RICK LARSEN,515
WASHINGTON,2,2,ANACORTES 21,REPUBLICAN,TIMOTHY S HAZELO,401
WASHINGTON,2,2,ANACORTES 22,DEMOCRAT,RICK LARSEN,673
WASHINGTON,2,2,ANACORTES 22,REPUBLICAN,TIMOTHY S HAZELO,454
WASHINGTON,2,2,ANACORTES 23,DEMOCRAT,RICK LARSEN,329
WASHINGTON,2,2,ANACORTES 23,REPUBLICAN,TIMOTHY S HAZELO,246
WASHINGTON,2,2,ANACORTES 24,DEMOCRAT,RICK LARSEN,716
WASHINGTON,2,2,ANACORTES 24,REPUBLICAN,TIMOTHY S HAZELO,522
WASHINGTON,2,2,ANACORTES 25,DEMOCRAT,RICK LARSEN,316
WASHINGTON,2,2,ANACORTES 25,REPUBLICAN,TIMOTHY S HAZELO,235
WASHINGTON,2,2,ANACORTES 4,DEMOCRAT,RICK LARSEN,359
WASHINGTON,2,2,ANACORTES 4,REPUBLICAN,TIMOTHY S HAZELO,233
WASHINGTON,2,2,ANACORTES 5,DEMOCRAT,RICK LARSEN,5
WASHINGTON,2,2,ANACORTES 5,REPUBLICAN,TIMOTHY S HAZELO,15
WASHINGTON,2,2,ANACORTES 6,DEMOCRAT,RICK LARSEN,406
WASHINGTON,2,2,ANACORTES 6,REPUBLICAN,TIMOTHY S HAZELO,319
WASHINGTON,2,2,ANACORTES 7,DEMOCRAT,RICK LARSEN,559
WASHINGTON,2,2,ANACORTES 7,REPUBLICAN,TIMOTHY S HAZELO,398
WASHINGTON,2,2,ANACORTES 9,DEMOCRAT,RICK LARSEN,683
WASHINGTON,2,2,ANACORTES 9,REPUBLICAN,TIMOTHY S HAZELO,552
WASHINGTON,2,2,ARBOR,DEMOCRAT,RICK LARSEN,342
WASHINGTON,2,2,ARBOR,REPUBLICAN,TIMOTHY S HAZELO,130
WASHINGTON,2,2,ARLINGTON 1,DEMOCRAT,RICK LARSEN,265
WASHINGTON,2,2,ARLINGTON 1,REPUBLICAN,TIMOTHY S HAZELO,283
WASHINGTON,2,2,ARLINGTON 10,DEMOCRAT,RICK LARSEN,320
WASHINGTON,2,2,ARLINGTON 10,REPUBLICAN,TIMOTHY S HAZELO,417
WASHINGTON,2,2,ARLINGTON 11,DEMOCRAT,RICK LARSEN,193
WASHINGTON,2,2,ARLINGTON 11,REPUBLICAN,TIMOTHY S HAZELO,176
WASHINGTON,2,2,ARLINGTON 12,DEMOCRAT,RICK LARSEN,266
WASHINGTON,2,2,ARLINGTON 12,REPUBLICAN,TIMOTHY S HAZELO,326
WASHINGTON,2,2,ARLINGTON 13,DEMOCRAT,RICK LARSEN,362
WASHINGTON,2,2,ARLINGTON 13,REPUBLICAN,TIMOTHY S HAZELO,429
WASHINGTON,2,2,ARLINGTON 14,DEMOCRAT,RICK LARSEN,238
WASHINGTON,2,2,ARLINGTON 14,REPUBLICAN,TIMOTHY S HAZELO,289
WASHINGTON,2,2,ARLINGTON 15,DEMOCRAT,RICK LARSEN,181
WASHINGTON,2,2,ARLINGTON 15,REPUBLICAN,TIMOTHY S HAZELO,177
