variable,dtype,var_type,role,isCount,weighting_var
Redzone.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Rush.TD.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Pass.Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Field.Goals.Made,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Redzone.Scores,int64,ordinal,"['independent', 'dependent']",FALSE,
Redzone.Points.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Rushing.Off.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Rush.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Rush.Yds,int64,ordinal,"['independent', 'dependent']",FALSE,
Yards.Rush,float64,continuous,"['independent', 'dependent']",FALSE,
Rushing.TD,int64,ordinal,"['independent', 'dependent']",FALSE,
Rushing.Yards.per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Rushing.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Rush.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Rush.Yards.Alloweed,int64,ordinal,"['independent', 'dependent']",FALSE,
Yds.Rush.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Opp.Rush.Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Rush.Yards.Per.Game.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Sack.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Sacks,int64,ordinal,"['independent', 'dependent']",FALSE,
Sack.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Average.Sacks.per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Scoring.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Touchdowns.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opponent.Extra.Points,int64,ordinal,"['independent', 'dependent']",FALSE,
X2.Point.Conversions.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Deflected.Extra.Points,int64,binary,"['independent', 'dependent']",FALSE,
Opp.Feild.Goals.Made,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.Safety,int64,ordinal,"['independent', 'dependent']",FALSE,
Points.Allowed,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Points.per.Game.Allowed,float64,continuous,"['independent', 'dependent']",FALSE,
Scoring.Off.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Touchdowns,int64,ordinal,"['independent', 'dependent']",FALSE,
