state,district,precinct,party,candidate,votes
FLORIDA,1,1_1 SOUTH MILTON,REPUBLICAN,MATT GAETZ,932
FLORIDA,1,1_PONCE DE LEON,DEMOCRAT,PHIL EHR,117
FLORIDA,1,1_PONCE DE LEON,REPUBLICAN,MATT GAETZ,826
FLORIDA,1,1_PRECINCT 1,DEMOCRAT,PHIL EHR,1689
FLORIDA,1,1_PRECINCT 1,REPUBLICAN,MATT GAETZ,2097
FLORIDA,1,20,DEMOCRAT,PHIL EHR,550
FLORIDA,1,20,REPUBLICAN,MATT GAETZ,1568
FLORIDA,1,20_20 PACE,DEMOCRAT,PHIL EHR,1373
FLORIDA,1,20_20 PACE,REPUBLICAN,MATT GAETZ,3939
FLORIDA,1,21,DEMOCRAT,PHIL EHR,701
FLORIDA,1,21,REPUBLICAN,MATT GAETZ,1441
FLORIDA,1,210,DEMOCRAT,PHIL EHR,40
FLORIDA,1,210,REPUBLICAN,MATT GAETZ,302
FLORIDA,1,21_21 AVALON,DEMOCRAT,PHIL EHR,961
FLORIDA,1,21_21 AVALON,REPUBLICAN,MATT GAETZ,2602
FLORIDA,1,21_PRECINCT 21,DEMOCRAT,PHIL EHR,832
FLORIDA,1,21_PRECINCT 21,REPUBLICAN,MATT GAETZ,1570
FLORIDA,1,22,DEMOCRAT,PHIL EHR,638
FLORIDA,1,22,REPUBLICAN,MATT GAETZ,1058
FLORIDA,1,220,DEMOCRAT,PHIL EHR,58
FLORIDA,1,220,REPUBLICAN,MATT GAETZ,426
FLORIDA,1,22_22 GULF BREEZE,DEMOCRAT,PHIL EHR,1563
FLORIDA,1,22_22 GULF BREEZE,REPUBLICAN,MATT GAETZ,2692
FLORIDA,1,22_PRECINCT 22,DEMOCRAT,PHIL EHR,461
FLORIDA,1,22_PRECINCT 22,REPUBLICAN,MATT GAETZ,333
FLORIDA,1,23,DEMOCRAT,PHIL EHR,191
FLORIDA,1,23,REPUBLICAN,MATT GAETZ,268
FLORIDA,1,230,DEMOCRAT,PHIL EHR,104
FLORIDA,1,230,REPUBLICAN,MATT GAETZ,698
FLORIDA,1,23_23 MIDWAY,DEMOCRAT,PHIL EHR,990
FLORIDA,1,23_23 MIDWAY,REPUBLICAN,MATT GAETZ,1997
FLORIDA,1,23_PRECINCT 23,DEMOCRAT,PHIL EHR,78
FLORIDA,1,23_PRECINCT 23,REPUBLICAN,MATT GAETZ,578
FLORIDA,1,24,DEMOCRAT,PHIL EHR,916
FLORIDA,1,24,REPUBLICAN,MATT GAETZ,1356
FLORIDA,1,240,DEMOCRAT,PHIL EHR,29
FLORIDA,1,240,REPUBLICAN,MATT GAETZ,269
FLORIDA,1,24_24 PEA RIDGE,DEMOCRAT,PHIL EHR,1651
FLORIDA,1,24_24 PEA RIDGE,REPUBLICAN,MATT GAETZ,4395
FLORIDA,1,24_PRECINCT 24,DEMOCRAT,PHIL EHR,1210
FLORIDA,1,24_PRECINCT 24,REPUBLICAN,MATT GAETZ,1624
FLORIDA,1,25,DEMOCRAT,PHIL EHR,484
FLORIDA,1,25,REPUBLICAN,MATT GAETZ,1049
FLORIDA,1,25_25 ORIOLE BEACH,DEMOCRAT,PHIL EHR,998
FLORIDA,1,25_25 ORIOLE BEACH,REPUBLICAN,MATT GAETZ,2153
FLORIDA,1,25_PRECINCT 25,DEMOCRAT,PHIL EHR,497
FLORIDA,1,25_PRECINCT 25,REPUBLICAN,MATT GAETZ,558
FLORIDA,1,26,DEMOCRAT,PHIL EHR,558
FLORIDA,1,26,REPUBLICAN,MATT GAETZ,1760
FLORIDA,1,26_26 EAST NAVARRE,DEMOCRAT,PHIL EHR,1870
FLORIDA,1,26_26 EAST NAVARRE,REPUBLICAN,MATT GAETZ,4209
FLORIDA,1,26_PRECINCT 26,DEMOCRAT,PHIL EHR,1791
FLORIDA,1,26_PRECINCT 26,REPUBLICAN,MATT GAETZ,2930
FLORIDA,1,27,DEMOCRAT,PHIL EHR,71
FLORIDA,1,27,REPUBLICAN,MATT GAETZ,132
FLORIDA,1,27_27 WOODBINE,DEMOCRAT,PHIL EHR,1158
FLORIDA,1,27_27 WOODBINE,REPUBLICAN,MATT GAETZ,3333
FLORIDA,1,28,DEMOCRAT,PHIL EHR,89
FLORIDA,1,28,REPUBLICAN,MATT GAETZ,209
FLORIDA,1,28_28 TIGER POINT,DEMOCRAT,PHIL EHR,947
FLORIDA,1,28_28 TIGER POINT,REPUBLICAN,MATT GAETZ,1967
FLORIDA,1,28_PRECINCT 28,DEMOCRAT,PHIL EHR,1556
FLORIDA,1,28_PRECINCT 28,REPUBLICAN,MATT GAETZ,283
FLORIDA,1,29,DEMOCRAT,PHIL EHR,505
FLORIDA,1,29,REPUBLICAN,MATT GAETZ,1208
FLORIDA,1,29_29 WEST NAVARRE,DEMOCRAT,PHIL EHR,776
FLORIDA,1,29_29 WEST NAVARRE,REPUBLICAN,MATT GAETZ,1745
FLORIDA,1,29_PRECINCT 29,DEMOCRAT,PHIL EHR,935
FLORIDA,1,29_PRECINCT 29,REPUBLICAN,MATT GAETZ,512
FLORIDA,1,2_02,DEMOCRAT,PHIL EHR,65
FLORIDA,1,2_02,REPUBLICAN,MATT GAETZ,524
FLORIDA,1,2_2 WALLACE,DEMOCRAT,PHIL EHR,723
FLORIDA,1,2_2 WALLACE,REPUBLICAN,MATT GAETZ,2851
FLORIDA,1,2_PINE LOG,DEMOCRAT,PHIL EHR,95
FLORIDA,1,2_PINE LOG,REPUBLICAN,MATT GAETZ,853
FLORIDA,1,30,DEMOCRAT,PHIL EHR,401
FLORIDA,1,30,REPUBLICAN,MATT GAETZ,921
FLORIDA,1,30_30 PINE TERRACE,DEMOCRAT,PHIL EHR,548
FLORIDA,1,30_30 PINE TERRACE,REPUBLICAN,MATT GAETZ,2089
FLORIDA,1,30_PRECINCT 30,DEMOCRAT,PHIL EHR,876
FLORIDA,1,30_PRECINCT 30,REPUBLICAN,MATT GAETZ,1224
FLORIDA,1,31,DEMOCRAT,PHIL EHR,524
FLORIDA,1,31,REPUBLICAN,MATT GAETZ,1323
FLORIDA,1,310,DEMOCRAT,PHIL EHR,884
FLORIDA,1,310,REPUBLICAN,MATT GAETZ,2892
FLORIDA,1,31_31 FLORIDATOWN,DEMOCRAT,PHIL EHR,324
FLORIDA,1,31_31 FLORIDATOWN,REPUBLICAN,MATT GAETZ,931
FLORIDA,1,31_PRECINCT 31,DEMOCRAT,PHIL EHR,1125
FLORIDA,1,31_PRECINCT 31,REPUBLICAN,MATT GAETZ,402
FLORIDA,1,32,DEMOCRAT,PHIL EHR,675
FLORIDA,1,32,REPUBLICAN,MATT GAETZ,1466
FLORIDA,1,320,DEMOCRAT,PHIL EHR,428
FLORIDA,1,320,REPUBLICAN,MATT GAETZ,1074
FLORIDA,1,32_32 GRAND POINTE,DEMOCRAT,PHIL EHR,987
FLORIDA,1,32_32 GRAND POINTE,REPUBLICAN,MATT GAETZ,2037
FLORIDA,1,32_PRECINCT 32,DEMOCRAT,PHIL EHR,246
FLORIDA,1,32_PRECINCT 32,REPUBLICAN,MATT GAETZ,220
FLORIDA,1,33,DEMOCRAT,PHIL EHR,1127
FLORIDA,1,33,REPUBLICAN,MATT GAETZ,3032
FLORIDA,1,330,DEMOCRAT,PHIL EHR,185
FLORIDA,1,330,REPUBLICAN,MATT GAETZ,978
FLORIDA,1,33_33 EAST MILTON,DEMOCRAT,PHIL EHR,546
FLORIDA,1,33_33 EAST MILTON,REPUBLICAN,MATT GAETZ,1797
FLORIDA,1,33_PRECINCT 33,DEMOCRAT,PHIL EHR,102
FLORIDA,1,33_PRECINCT 33,REPUBLICAN,MATT GAETZ,896
FLORIDA,1,34,DEMOCRAT,PHIL EHR,1027
FLORIDA,1,34,REPUBLICAN,MATT GAETZ,1707
FLORIDA,1,340,DEMOCRAT,PHIL EHR,246
FLORIDA,1,340,REPUBLICAN,MATT GAETZ,515
FLORIDA,1,34_34 HIDDEN CREEK,DEMOCRAT,PHIL EHR,2638
FLORIDA,1,34_34 HIDDEN CREEK,REPUBLICAN,MATT GAETZ,6013
FLORIDA,1,34_PRECINCT 34,DEMOCRAT,PHIL EHR,1343
FLORIDA,1,34_PRECINCT 34,REPUBLICAN,MATT GAETZ,417
FLORIDA,1,35,DEMOCRAT,PHIL EHR,752
FLORIDA,1,35,REPUBLICAN,MATT GAETZ,2077
FLORIDA,1,350,DEMOCRAT,PHIL EHR,103
FLORIDA,1,350,REPUBLICAN,MATT GAETZ,512
FLORIDA,1,35_35 BISCAYNE POINTE,DEMOCRAT,PHIL EHR,1389
FLORIDA,1,35_35 BISCAYNE POINTE,REPUBLICAN,MATT GAETZ,2493
FLORIDA,1,35_PRECINCT 35,DEMOCRAT,PHIL EHR,886
FLORIDA,1,35_PRECINCT 35,REPUBLICAN,MATT GAETZ,923
FLORIDA,1,36,DEMOCRAT,PHIL EHR,669
FLORIDA,1,36,REPUBLICAN,MATT GAETZ,1664
FLORIDA,1,360,DEMOCRAT,PHIL EHR,106
FLORIDA,1,360,REPUBLICAN,MATT GAETZ,477
FLORIDA,1,36_36 MILL CREEK,DEMOCRAT,PHIL EHR,448
FLORIDA,1,36_36 MILL CREEK,REPUBLICAN,MATT GAETZ,1403
FLORIDA,1,36_PRECINCT 36,DEMOCRAT,PHIL EHR,732
FLORIDA,1,36_PRECINCT 36,REPUBLICAN,MATT GAETZ,1850
FLORIDA,1,37,DEMOCRAT,PHIL EHR,721
FLORIDA,1,37,REPUBLICAN,MATT GAETZ,1661
FLORIDA,1,37_37 SOUNDSIDE,DEMOCRAT,PHIL EHR,629
FLORIDA,1,37_37 SOUNDSIDE,REPUBLICAN,MATT GAETZ,1455
FLORIDA,1,38,DEMOCRAT,PHIL EHR,640
FLORIDA,1,38,REPUBLICAN,MATT GAETZ,1136
FLORIDA,1,38_38 NAVARRE BEACH,DEMOCRAT,PHIL EHR,306
FLORIDA,1,38_38 NAVARRE BEACH,REPUBLICAN,MATT GAETZ,627
FLORIDA,1,38_PRECINCT 38,DEMOCRAT,PHIL EHR,1004
FLORIDA,1,38_PRECINCT 38,REPUBLICAN,MATT GAETZ,2144
FLORIDA,1,39,DEMOCRAT,PHIL EHR,649
FLORIDA,1,39,REPUBLICAN,MATT GAETZ,1184
FLORIDA,1,39_39 GARCON POINT,DEMOCRAT,PHIL EHR,404
FLORIDA,1,39_39 GARCON POINT,REPUBLICAN,MATT GAETZ,1216
FLORIDA,1,3_03,DEMOCRAT,PHIL EHR,175
FLORIDA,1,3_03,REPUBLICAN,MATT GAETZ,941
FLORIDA,1,3_3 COON HILL,DEMOCRAT,PHIL EHR,62
FLORIDA,1,3_3 COON HILL,REPUBLICAN,MATT GAETZ,624
FLORIDA,1,3_NEW HOPE,DEMOCRAT,PHIL EHR,92
FLORIDA,1,3_NEW HOPE,REPUBLICAN,MATT GAETZ,644
FLORIDA,1,3_PRECINCT 3,DEMOCRAT,PHIL EHR,1232
FLORIDA,1,3_PRECINCT 3,REPUBLICAN,MATT GAETZ,1487
FLORIDA,1,40,DEMOCRAT,PHIL EHR,725
FLORIDA,1,40,REPUBLICAN,MATT GAETZ,1852
FLORIDA,1,40_40 PARKWAY,DEMOCRAT,PHIL EHR,553
FLORIDA,1,40_40 PARKWAY,REPUBLICAN,MATT GAETZ,1027
FLORIDA,1,40_PRECINCT 40,DEMOCRAT,PHIL EHR,730
FLORIDA,1,40_PRECINCT 40,REPUBLICAN,MATT GAETZ,706
FLORIDA,1,41,DEMOCRAT,PHIL EHR,347
FLORIDA,1,41,REPUBLICAN,MATT GAETZ,800
FLORIDA,1,410,DEMOCRAT,PHIL EHR,223
FLORIDA,1,410,REPUBLICAN,MATT GAETZ,766
FLORIDA,1,41_41 WOODLAWN,DEMOCRAT,PHIL EHR,810
FLORIDA,1,41_41 WOODLAWN,REPUBLICAN,MATT GAETZ,1655
FLORIDA,1,41_PRECINCT 41,DEMOCRAT,PHIL EHR,1180
FLORIDA,1,41_PRECINCT 41,REPUBLICAN,MATT GAETZ,761
FLORIDA,1,42,DEMOCRAT,PHIL EHR,814
FLORIDA,1,42,REPUBLICAN,MATT GAETZ,923
FLORIDA,1,420,DEMOCRAT,PHIL EHR,95
FLORIDA,1,420,REPUBLICAN,MATT GAETZ,475
FLORIDA,1,42_PRECINCT 42,DEMOCRAT,PHIL EHR,1013
FLORIDA,1,42_PRECINCT 42,REPUBLICAN,MATT GAETZ,1389
FLORIDA,1,43,DEMOCRAT,PHIL EHR,589
FLORIDA,1,43,REPUBLICAN,MATT GAETZ,1314
FLORIDA,1,430,DEMOCRAT,PHIL EHR,1399
FLORIDA,1,430,REPUBLICAN,MATT GAETZ,4257
FLORIDA,1,43_PRECINCT 43,DEMOCRAT,PHIL EHR,1337
FLORIDA,1,43_PRECINCT 43,REPUBLICAN,MATT GAETZ,3253
FLORIDA,1,44,DEMOCRAT,PHIL EHR,434
FLORIDA,1,44,REPUBLICAN,MATT GAETZ,1047
FLORIDA,1,440,DEMOCRAT,PHIL EHR,145
FLORIDA,1,440,REPUBLICAN,MATT GAETZ,654
FLORIDA,1,45,DEMOCRAT,PHIL EHR,1278
FLORIDA,1,45,REPUBLICAN,MATT GAETZ,2149
FLORIDA,1,46,DEMOCRAT,PHIL EHR,1086
FLORIDA,1,46,REPUBLICAN,MATT GAETZ,2688
FLORIDA,1,46_PRECINCT 46,DEMOCRAT,PHIL EHR,965
FLORIDA,1,46_PRECINCT 46,REPUBLICAN,MATT GAETZ,1217
FLORIDA,1,47,DEMOCRAT,PHIL EHR,492
FLORIDA,1,47,REPUBLICAN,MATT GAETZ,895
FLORIDA,1,47_PRECINCT 47,DEMOCRAT,PHIL EHR,660
FLORIDA,1,47_PRECINCT 47,REPUBLICAN,MATT GAETZ,319
FLORIDA,1,48,DEMOCRAT,PHIL EHR,25
FLORIDA,1,48,REPUBLICAN,MATT GAETZ,63
FLORIDA,1,48_PRECINCT 48,DEMOCRAT,PHIL EHR,948
FLORIDA,1,48_PRECINCT 48,REPUBLICAN,MATT GAETZ,176
FLORIDA,1,49,DEMOCRAT,PHIL EHR,652
FLORIDA,1,49,REPUBLICAN,MATT GAETZ,2122
FLORIDA,1,49_PRECINCT 49,DEMOCRAT,PHIL EHR,706
FLORIDA,1,49_PRECINCT 49,REPUBLICAN,MATT GAETZ,586
FLORIDA,1,4_04,DEMOCRAT,PHIL EHR,182
FLORIDA,1,4_04,REPUBLICAN,MATT GAETZ,929
FLORIDA,1,4_4 JAY,DEMOCRAT,PHIL EHR,151
FLORIDA,1,4_4 JAY,REPUBLICAN,MATT GAETZ,1314
FLORIDA,1,4_BETHLEHEM,DEMOCRAT,PHIL EHR,129
FLORIDA,1,4_BETHLEHEM,REPUBLICAN,MATT GAETZ,1105
FLORIDA,1,50,DEMOCRAT,PHIL EHR,595
FLORIDA,1,50,REPUBLICAN,MATT GAETZ,1980
FLORIDA,1,50_PRECINCT 50,DEMOCRAT,PHIL EHR,280
FLORIDA,1,50_PRECINCT 50,REPUBLICAN,MATT GAETZ,217
FLORIDA,1,51,DEMOCRAT,PHIL EHR,399
FLORIDA,1,51,REPUBLICAN,MATT GAETZ,1255
FLORIDA,1,510,DEMOCRAT,PHIL EHR,1810
FLORIDA,1,510,REPUBLICAN,MATT GAETZ,6058
FLORIDA,1,51_PRECINCT 51,DEMOCRAT,PHIL EHR,1292
FLORIDA,1,51_PRECINCT 51,REPUBLICAN,MATT GAETZ,1297
FLORIDA,1,52,DEMOCRAT,PHIL EHR,971
FLORIDA,1,52,REPUBLICAN,MATT GAETZ,2123
FLORIDA,1,520,DEMOCRAT,PHIL EHR,2157
FLORIDA,1,520,REPUBLICAN,MATT GAETZ,5097
FLORIDA,1,530,DEMOCRAT,PHIL EHR,1405
FLORIDA,1,530,REPUBLICAN,MATT GAETZ,2556
FLORIDA,1,540,DEMOCRAT,PHIL EHR,724
FLORIDA,1,540,REPUBLICAN,MATT GAETZ,1651
FLORIDA,1,54_PRECINCT 54,DEMOCRAT,PHIL EHR,757
FLORIDA,1,54_PRECINCT 54,REPUBLICAN,MATT GAETZ,996
FLORIDA,1,55_PRECINCT 55,DEMOCRAT,PHIL EHR,673
FLORIDA,1,55_PRECINCT 55,REPUBLICAN,MATT GAETZ,1095
FLORIDA,1,56_PRECINCT 56,DEMOCRAT,PHIL EHR,1046
FLORIDA,1,56_PRECINCT 56,REPUBLICAN,MATT GAETZ,513
FLORIDA,1,58_PRECINCT 58,DEMOCRAT,PHIL EHR,393
FLORIDA,1,58_PRECINCT 58,REPUBLICAN,MATT GAETZ,484
FLORIDA,1,5_05,DEMOCRAT,PHIL EHR,164
FLORIDA,1,5_05,REPUBLICAN,MATT GAETZ,789
