state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,720026,REPUBLICAN,KEVIN HERN,187
OKLAHOMA,1,1,720027,DEMOCRAT,KOJO ASAMOA-CAESAR,119
OKLAHOMA,1,1,720027,REPUBLICAN,KEVIN HERN,201
OKLAHOMA,1,1,720028,DEMOCRAT,KOJO ASAMOA-CAESAR,179
OKLAHOMA,1,1,720028,REPUBLICAN,KEVIN HERN,259
OKLAHOMA,1,1,720029,DEMOCRAT,KOJO ASAMOA-CAESAR,204
OKLAHOMA,1,1,720029,REPUBLICAN,KEVIN HERN,274
OKLAHOMA,1,1,720030,DEMOCRAT,KOJO ASAMOA-CAESAR,351
OKLAHOMA,1,1,720030,REPUBLICAN,KEVIN HERN,307
OKLAHOMA,1,1,720031,DEMOCRAT,KOJO ASAMOA-CAESAR,175
OKLAHOMA,1,1,720031,REPUBLICAN,KEVIN HERN,103
OKLAHOMA,1,1,720032,DEMOCRAT,KOJO ASAMOA-CAESAR,261
OKLAHOMA,1,1,720032,REPUBLICAN,KEVIN HERN,137
OKLAHOMA,1,1,720033,DEMOCRAT,KOJO ASAMOA-CAESAR,212
OKLAHOMA,1,1,720033,REPUBLICAN,KEVIN HERN,132
OKLAHOMA,1,1,720034,DEMOCRAT,KOJO ASAMOA-CAESAR,117
OKLAHOMA,1,1,720034,REPUBLICAN,KEVIN HERN,128
OKLAHOMA,1,1,720035,DEMOCRAT,KOJO ASAMOA-CAESAR,453
OKLAHOMA,1,1,720035,REPUBLICAN,KEVIN HERN,393
OKLAHOMA,1,1,720036,DEMOCRAT,KOJO ASAMOA-CAESAR,363
OKLAHOMA,1,1,720036,REPUBLICAN,KEVIN HERN,403
OKLAHOMA,1,1,720037,DEMOCRAT,KOJO ASAMOA-CAESAR,120
OKLAHOMA,1,1,720037,REPUBLICAN,KEVIN HERN,68
OKLAHOMA,1,1,720038,DEMOCRAT,KOJO ASAMOA-CAESAR,159
OKLAHOMA,1,1,720038,REPUBLICAN,KEVIN HERN,242
OKLAHOMA,1,1,720039,DEMOCRAT,KOJO ASAMOA-CAESAR,202
OKLAHOMA,1,1,720039,REPUBLICAN,KEVIN HERN,369
OKLAHOMA,1,1,720040,DEMOCRAT,KOJO ASAMOA-CAESAR,34
OKLAHOMA,1,1,720040,REPUBLICAN,KEVIN HERN,39
OKLAHOMA,1,1,720041,DEMOCRAT,KOJO ASAMOA-CAESAR,130
OKLAHOMA,1,1,720041,REPUBLICAN,KEVIN HERN,200
OKLAHOMA,1,1,720042,DEMOCRAT,KOJO ASAMOA-CAESAR,82
OKLAHOMA,1,1,720042,REPUBLICAN,KEVIN HERN,322
OKLAHOMA,1,1,720043,DEMOCRAT,KOJO ASAMOA-CAESAR,93
OKLAHOMA,1,1,720043,REPUBLICAN,KEVIN HERN,346
OKLAHOMA,1,1,720044,DEMOCRAT,KOJO ASAMOA-CAESAR,190
OKLAHOMA,1,1,720044,REPUBLICAN,KEVIN HERN,448
OKLAHOMA,1,1,720045,DEMOCRAT,KOJO ASAMOA-CAESAR,3
OKLAHOMA,1,1,720045,REPUBLICAN,KEVIN HERN,6
OKLAHOMA,1,1,720046,DEMOCRAT,KOJO ASAMOA-CAESAR,552
OKLAHOMA,1,1,720046,REPUBLICAN,KEVIN HERN,403
OKLAHOMA,1,1,720047,DEMOCRAT,KOJO ASAMOA-CAESAR,86
OKLAHOMA,1,1,720047,REPUBLICAN,KEVIN HERN,33
OKLAHOMA,1,1,720048,DEMOCRAT,KOJO ASAMOA-CAESAR,368
OKLAHOMA,1,1,720048,REPUBLICAN,KEVIN HERN,325
