exporter,importer,sector,year,trade
MEX,MEX,2,2013,75196.50671999999
MEX,MEX,2,2015,3962.78016
MEX,MEX,3,2010,225075.09373899995
MEX,MEX,3,2011,252411.438269
MEX,MEX,3,2012,255053.73792199994
MEX,MEX,3,2013,267217.12935600005
MEX,MEX,3,2014,270302.7941350001
MEX,MEX,3,2015,231951.610868
MEX,MEX,3,2016,202523.74289399994
MEX,MEX,3,2017,220573.30312199995
MEX,MEX,3,2018,227239.18868000002
MEX,MEX,3,2019,223236.626912
MEX,MEX,4,2010,774091.4936523438
MEX,MEX,4,2011,866460.1103515625
MEX,MEX,4,2012,885717.39453125
MEX,MEX,4,2013,938953.716796875
MEX,MEX,4,2014,950942.34375
MEX,MEX,4,2015,857195.9033203125
MEX,MEX,4,2016,788779.7255859375
MEX,MEX,4,2017,846703.1103515625
MEX,MEX,4,2018,897091.1049804688
MEX,MEX,4,2019,923581.9331054688
MEX,USA,1,2010,7530.948964000002
MEX,USA,1,2011,8660.401271000002
MEX,USA,1,2012,8714.773570000003
MEX,USA,1,2013,9392.603923999997
MEX,USA,1,2014,10050.121049999998
MEX,USA,1,2015,11390.557593000001
MEX,USA,1,2016,12427.178141
MEX,USA,1,2017,13311.116165
MEX,USA,1,2018,13841.017587000002
MEX,USA,1,2019,15180.911239000003
MEX,USA,2,2010,30689.330525
MEX,USA,2,2011,40768.157358
MEX,USA,2,2012,38024.505779
MEX,USA,2,2013,32825.776587
MEX,USA,2,2014,28797.432961
MEX,USA,2,2015,13309.307433
MEX,USA,2,2016,8227.066599
MEX,USA,2,2017,10730.674078999999
MEX,USA,2,2018,15024.023883000002
MEX,USA,2,2019,12970.156315
MEX,USA,3,2010,186262.157299
MEX,USA,3,2011,208149.568129
MEX,USA,3,2012,225327.26193999997
MEX,USA,3,2013,233034.58644800002
MEX,USA,3,2014,248732.96369499998
MEX,USA,3,2015,264931.405106
MEX,USA,3,2016,266553.25753
MEX,USA,3,2017,281989.8714240001
MEX,USA,3,2018,310086.45929300005
MEX,USA,3,2019,322706.78947699995
MEX,USA,4,2010,15891.0
MEX,USA,4,2011,16811.0
MEX,USA,4,2012,18021.0
MEX,USA,4,2013,18909.0
MEX,USA,4,2014,21632.0
MEX,USA,4,2015,24135.0
MEX,USA,4,2016,25855.0
MEX,USA,4,2017,27611.0
MEX,USA,4,2018,28325.0
MEX,USA,4,2019,30508.0
USA,CAN,1,2010,5524.9294070000005
USA,CAN,1,2011,6012.2899929999985
