exporter,importer,sector,industry,year,trade
CHL,CHL,1,1,2018,359.198
PER,CHL,1,1,2018,0.002
ARG,CHL,1,1,2018,126.729
CAN,CHL,1,1,2018,102.822
PER,CHL,1,1,2019,0.005
CAN,CHL,1,1,2019,84.234
ARG,CHL,1,1,2019,107.969
USA,CHL,1,1,2019,96.363
CHL,CHL,1,1,2019,341.19
MEX,CHL,1,1,2019,0.001
PER,COL,1,1,2010,0.005
USA,COL,1,1,2010,160.789
BRA,COL,1,1,2010,7.734
CAN,COL,1,1,2010,146.467
COL,COL,1,1,2010,6.758
ARG,COL,1,1,2010,34.486
COL,COL,1,1,2011,6.198
ARG,COL,1,1,2011,65.171
PER,COL,1,1,2011,0.016
CAN,COL,1,1,2011,207.907
USA,COL,1,1,2011,245.509
CAN,COL,1,1,2012,232.488
PER,COL,1,1,2012,0.015
BRA,COL,1,1,2012,6.764
ARG,COL,1,1,2012,96.556
COL,COL,1,1,2012,4.452
USA,COL,1,1,2012,144.204
USA,COL,1,1,2013,227.628
ARG,COL,1,1,2013,26.011
CAN,COL,1,1,2013,210.454
COL,COL,1,1,2013,3.61
USA,COL,1,1,2014,217.519
CAN,COL,1,1,2014,335.476
ARG,COL,1,1,2015,5.3
USA,COL,1,1,2015,167.017
BRA,COL,1,1,2015,5.573
CAN,COL,1,1,2015,252.052
COL,COL,1,1,2015,2.783
BRA,COL,1,1,2016,23.216
ARG,COL,1,1,2016,25.635
USA,COL,1,1,2016,162.604
CAN,COL,1,1,2016,249.025
COL,COL,1,1,2016,3.494
COL,COL,1,1,2017,1.55
ARG,COL,1,1,2017,23.543
USA,COL,1,1,2017,161.436
CAN,COL,1,1,2017,256.817
USA,COL,1,1,2018,103.44
COL,COL,1,1,2018,1.771
ARG,COL,1,1,2018,15.913
CAN,COL,1,1,2018,312.304
CAN,COL,1,1,2019,311.302
COL,COL,1,1,2019,1.661
USA,COL,1,1,2019,149.26
ARG,COL,1,1,2019,4.716
CAN,MEX,1,1,2010,213.212
MEX,MEX,1,1,2010,649.508
ARG,MEX,1,1,2010,0.0
USA,MEX,1,1,2010,628.687
MEX,MEX,1,1,2011,698.43
USA,MEX,1,1,2011,1027.903
CAN,MEX,1,1,2011,293.929
MEX,MEX,1,1,2012,675.467
ARG,MEX,1,1,2012,0.001
CAN,MEX,1,1,2012,284.303
USA,MEX,1,1,2012,1159.326
CAN,MEX,1,1,2013,341.596
MEX,MEX,1,1,2013,751.473
USA,MEX,1,1,2013,951.493
CAN,MEX,1,1,2014,324.148
MEX,MEX,1,1,2014,481.331
USA,MEX,1,1,2014,872.957
CAN,MEX,1,1,2015,227.99
USA,MEX,1,1,2015,663.19
MEX,MEX,1,1,2015,441.021
MEX,MEX,1,1,2016,265.375
CAN,MEX,1,1,2016,200.489
USA,MEX,1,1,2016,572.114
CAN,MEX,1,1,2017,233.948
ARG,MEX,1,1,2017,6.854
MEX,MEX,1,1,2017,510.734
USA,MEX,1,1,2017,733.419
ARG,MEX,1,1,2018,0.0
CAN,MEX,1,1,2018,246.365
USA,MEX,1,1,2018,664.3
MEX,MEX,1,1,2018,367.646
USA,MEX,1,1,2019,857.735
CAN,MEX,1,1,2019,187.884
MEX,MEX,1,1,2019,302.613
CAN,PER,1,1,2010,189.399
ARG,PER,1,1,2010,23.73
MEX,PER,1,1,2010,17.409
USA,PER,1,1,2010,189.8
PER,PER,1,1,2010,86.908
ARG,PER,1,1,2011,35.129
CHL,PER,1,1,2011,0.042
CAN,PER,1,1,2011,191.722
MEX,PER,1,1,2011,3.249
USA,PER,1,1,2011,330.176
PER,PER,1,1,2011,97.871
USA,PER,1,1,2012,84.765
PER,PER,1,1,2012,113.114
ARG,PER,1,1,2012,237.623
CAN,PER,1,1,2012,186.023
MEX,PER,1,1,2012,2.093
USA,PER,1,1,2013,223.865
CAN,PER,1,1,2013,259.942
ARG,PER,1,1,2013,58.633
PER,PER,1,1,2013,116.585
PER,PER,1,1,2014,111.643
CAN,PER,1,1,2014,414.348
USA,PER,1,1,2014,110.719
ARG,PER,1,1,2015,2.243
USA,PER,1,1,2015,107.351
PER,PER,1,1,2015,101.391
CAN,PER,1,1,2015,398.221
USA,PER,1,1,2016,85.417
PER,PER,1,1,2016,88.631
CAN,PER,1,1,2016,305.792
ARG,PER,1,1,2016,1.22
CAN,PER,1,1,2017,341.707
ARG,PER,1,1,2017,51.129
PER,PER,1,1,2017,95.348
USA,PER,1,1,2017,100.874
CAN,PER,1,1,2018,375.411
ARG,PER,1,1,2018,88.987
PER,PER,1,1,2018,95.364
USA,PER,1,1,2018,42.393
CAN,PER,1,1,2019,308.144
ARG,PER,1,1,2019,74.85
USA,PER,1,1,2019,117.534
PER,PER,1,1,2019,90.623
CAN,USA,1,1,2010,529.402
BRA,USA,1,1,2010,40.422
PER,USA,1,1,2010,0.025
USA,USA,1,1,2010,5456.354
MEX,USA,1,1,2010,1.296
USA,USA,1,1,2011,2641.32
BRA,USA,1,1,2011,0.006
PER,USA,1,1,2011,0.038
MEX,USA,1,1,2011,10.662
CHL,USA,1,1,2011,0.001
CAN,USA,1,1,2011,634.752
CAN,USA,1,1,2012,774.87
ARG,USA,1,1,2012,0.822
PER,USA,1,1,2012,0.058
MEX,USA,1,1,2012,5.786
USA,USA,1,1,2012,8960.503
BRA,USA,1,1,2013,0.026
ARG,USA,1,1,2013,3.367
MEX,USA,1,1,2013,1.768
CAN,USA,1,1,2013,1073.241
PER,USA,1,1,2013,0.072
USA,USA,1,1,2013,3643.863
CAN,USA,1,1,2014,981.811
MEX,USA,1,1,2014,4.103
PER,USA,1,1,2014,0.046
USA,USA,1,1,2014,3812.895
ARG,USA,1,1,2014,4.719
BRA,USA,1,1,2014,0.001
PER,USA,1,1,2015,0.102
CAN,USA,1,1,2015,699.374
ARG,USA,1,1,2015,10.404
USA,USA,1,1,2015,3862.102
MEX,USA,1,1,2015,12.179
CAN,USA,1,1,2016,418.709
ARG,USA,1,1,2016,24.303
MEX,USA,1,1,2016,4.825
CHL,USA,1,1,2016,0.004
USA,USA,1,1,2016,3425.311
PER,USA,1,1,2016,0.087
USA,USA,1,1,2017,1572.319
ARG,USA,1,1,2017,4.868
PER,USA,1,1,2017,0.059
CAN,USA,1,1,2017,697.183
BRA,USA,1,1,2017,0.0
MEX,USA,1,1,2017,2.67
CAN,USA,1,1,2018,796.626
CHL,USA,1,1,2018,0.04
USA,USA,1,1,2018,4001.353
PER,USA,1,1,2018,0.062
ARG,USA,1,1,2018,1.894
MEX,USA,1,1,2018,0.002
CAN,USA,1,1,2019,425.636
ARG,USA,1,1,2019,5.794
USA,USA,1,1,2019,1851.772
MEX,USA,1,1,2019,0.009
PER,USA,1,1,2019,0.052
MEX,CHL,1,1,2010,0.0
COL,USA,1,1,2014,0.0
PER,COL,1,1,2018,0.0
PER,COL,1,1,2013,0.0
PER,COL,1,1,2015,0.0
CHL,PER,1,1,2017,0.0
COL,PER,1,1,2010,0.0
PER,BRA,1,1,2013,0.0
CHL,USA,1,1,2014,0.0
CHL,USA,1,1,2019,0.0
PER,BRA,1,1,2010,0.0
BRA,USA,1,1,2012,0.0
CHL,ARG,1,1,2013,0.0
COL,USA,1,1,2013,0.0
CHL,PER,1,1,2014,0.0
BRA,COL,1,1,2018,0.0
ARG,MEX,1,1,2011,0.0
PER,COL,1,1,2014,0.0
MEX,COL,1,1,2016,0.0
CAN,ARG,1,1,2012,0.0
MEX,COL,1,1,2012,0.0
COL,PER,1,1,2015,0.0
MEX,CHL,1,1,2018,0.0
MEX,ARG,1,1,2013,0.0
MEX,PER,1,1,2019,0.0
BRA,CHL,1,1,2016,0.0
MEX,PER,1,1,2016,0.0
MEX,PER,1,1,2015,0.0
CHL,COL,1,1,2013,0.0
BRA,ARG,1,1,2017,0.0
COL,PER,1,1,2014,0.0
ARG,MEX,1,1,2016,0.0
COL,USA,1,1,2017,0.0
MEX,COL,1,1,2015,0.0
ARG,MEX,1,1,2013,0.0
CHL,ARG,1,1,2015,0.0
MEX,COL,1,1,2019,0.0
BRA,COL,1,1,2011,0.0
PER,BRA,1,1,2012,0.0
PER,CAN,1,1,2014,0.0
CHL,USA,1,1,2017,0.0
MEX,COL,1,1,2018,0.0
CHL,USA,1,1,2013,0.0
CHL,COL,1,1,2016,0.0
CHL,USA,1,1,2012,0.0
BRA,CHL,1,1,2017,0.0
CAN,ARG,1,1,2010,0.0
ARG,MEX,1,1,2019,0.0
MEX,PER,1,1,2017,0.0
CHL,PER,1,1,2019,0.0
COL,PER,1,1,2013,0.0
CHL,COL,1,1,2010,0.0
PER,BRA,1,1,2015,0.0
BRA,CAN,1,1,2015,0.0
PER,BRA,1,1,2016,0.0
PER,COL,1,1,2019,0.0
MEX,COL,1,1,2011,0.0
BRA,CAN,1,1,2016,0.0
PER,COL,1,1,2017,0.0
CHL,ARG,1,1,2016,0.0
MEX,PER,1,1,2018,0.0
ARG,MEX,1,1,2015,0.0
MEX,ARG,1,1,2015,0.0
BRA,USA,1,1,2015,0.0
MEX,CHL,1,1,2016,0.0
COL,USA,1,1,2019,0.0
CHL,COL,1,1,2012,0.0
PER,BRA,1,1,2018,0.0
COL,PER,1,1,2019,0.0
MEX,PER,1,1,2014,0.0
CAN,ARG,1,1,2013,0.0
