importer_iso3,broad_sector,year,trade
MEX,2,2013,3958.143877
MEX,2,2014,4314.606610000001
MEX,2,2015,3702.4900540000003
MEX,2,2016,3923.0841629999995
MEX,2,2017,6577.197730999999
MEX,2,2018,8181.640589999999
MEX,2,2019,7400.739269999999
MEX,3,2010,133348.91781900002
MEX,3,2011,158997.45467700012
MEX,3,2012,170746.31321199995
MEX,3,2013,172955.501545
MEX,3,2014,177868.71092399996
MEX,3,2015,169842.62279
MEX,3,2016,161127.67300300003
MEX,3,2017,172152.79834
MEX,3,2018,189797.65299299997
MEX,3,2019,180871.21824800008
MEX,4,2010,23727.0
MEX,4,2011,25477.0
MEX,4,2012,27292.0
MEX,4,2013,28881.0
MEX,4,2014,29461.0
MEX,4,2015,31053.0
MEX,4,2016,31038.0
MEX,4,2017,31789.0
MEX,4,2018,32864.0
MEX,4,2019,32738.0
